hh_id,gender,mar_status,rel_rating,age,education,hh_income,empl_status,hh_internet
237302,1,1,1,53,9,6,6,1
237302,2,1,1,57,9,6,1,1
237367,1,1,1,62,12,13,2,1
237367,2,1,1,62,11,13,1,1
237524,1,1,1,37,13,15,1,1
237524,2,1,2,38,10,15,7,1
237551,1,1,1,57,2,4,6,1
237551,2,1,2,53,9,4,6,1
238231,1,1,1,33,13,16,1,1
238231,2,1,2,31,12,16,7,1
238407,1,1,1,33,13,11,7,1
238407,2,1,1,30,14,11,1,1
238763,1,1,2,39,9,8,1,1
238763,2,1,2,38,10,8,1,1
239038,1,1,1,53,9,13,1,1
239038,2,1,1,49,9,13,2,1
239180,1,1,1,43,13,17,1,1
239180,2,1,2,40,12,17,1,1
239357,1,2,2,55,6,7,1,0
239357,2,2,2,47,9,7,7,0
239615,1,1,1,39,14,19,1,1
239615,2,1,1,38,12,19,1,1
239760,1,1,1,53,12,14,1,1
239760,2,1,1,54,13,14,1,1
240303,1,1,2,31,12,11,1,1
240303,2,1,2,30,9,11,1,1
240335,1,1,1,39,12,15,1,1
240335,2,1,1,38,11,15,7,1
240656,1,1,1,43,9,16,2,1
240656,2,1,1,44,9,16,7,1
240825,1,1,1,57,10,15,1,1
240825,2,1,1,55,9,15,7,1
242812,1,1,2,46,10,18,1,1
242812,2,1,1,51,13,18,1,1
242993,1,1,2,54,9,14,1,1
242993,2,1,2,54,9,14,2,1
243121,1,2,1,33,12,15,1,1
243121,2,2,1,32,11,15,1,1
243251,1,2,3,52,9,8,1,0
243251,2,2,3,53,9,8,1,0
243373,1,1,2,63,13,16,5,1
243373,2,1,2,63,13,16,5,1
243424,1,1,2,40,12,14,1,1
243424,2,1,1,36,10,14,7,1
244136,1,1,1,60,13,15,1,1
244136,2,1,1,56,12,15,7,1
244168,1,1,1,52,11,16,1,1
244168,2,1,1,52,13,16,1,1
244730,1,1,1,45,9,15,1,1
244730,2,1,1,43,12,15,7,1
244815,1,1,1,56,13,17,1,1
244815,2,1,1,57,10,17,2,1
245045,1,1,1,47,9,7,2,1
245045,2,1,1,38,9,7,2,1
245120,1,1,2,46,9,16,2,1
245120,2,1,1,43,9,16,7,1
245550,1,2,3,43,9,7,2,1
245550,2,2,3,40,9,7,6,1
245833,1,1,1,55,10,15,2,1
245833,2,1,2,55,9,15,1,1
245906,1,1,1,61,5,6,6,1
245906,2,1,1,55,9,6,6,1
246101,1,1,2,53,10,19,1,1
246101,2,1,1,44,13,19,1,1
246429,1,1,1,33,11,15,1,1
246429,2,1,1,28,10,15,1,1
246454,1,1,1,43,11,17,1,1
246454,2,1,1,43,13,17,1,1
246577,1,1,3,41,12,12,1,1
246577,2,1,1,39,12,12,6,1
247460,1,1,1,41,10,15,1,1
247460,2,1,2,34,11,15,7,1
247832,1,1,1,34,10,15,1,1
247832,2,1,2,34,12,15,1,1
247927,1,1,1,57,12,18,5,1
247927,2,1,1,52,10,18,7,1
248076,1,2,1,47,13,10,2,1
248076,2,2,1,42,12,10,2,1
248554,1,1,1,55,13,19,2,1
248554,2,1,1,51,11,19,1,1
248890,1,1,1,44,12,17,2,1
248890,2,1,2,34,11,17,2,1
249065,1,1,2,39,12,13,1,1
249065,2,1,1,37,12,13,1,1
249109,1,2,2,51,9,13,1,1
249109,2,2,1,53,11,13,1,1
249150,1,1,1,38,10,15,2,1
249150,2,1,2,31,9,15,6,1
249268,1,1,2,48,9,13,1,1
249268,2,1,2,48,10,13,1,1
249544,1,1,2,48,13,18,1,1
249544,2,1,2,38,12,18,1,1
249592,1,1,1,51,13,17,1,1
249592,2,1,1,51,13,17,1,1
249596,1,1,1,53,9,12,2,1
249596,2,1,1,48,9,12,1,1
249696,1,1,1,58,10,16,2,1
249696,2,1,1,56,13,16,1,1
249963,1,1,1,45,9,16,1,1
249963,2,1,1,46,9,16,1,1
250026,1,2,2,62,13,19,1,1
250026,2,2,2,52,13,19,1,1
250159,1,1,2,42,13,17,1,1
250159,2,1,1,41,12,17,1,1
250622,1,1,2,63,13,13,5,1
250622,2,1,2,64,13,13,5,1
250743,1,1,1,51,9,12,4,1
250743,2,1,1,55,11,12,4,1
251097,1,1,1,60,9,8,1,1
251097,2,1,1,59,10,8,1,1
251132,1,1,1,64,14,19,1,1
251132,2,1,1,60,11,19,1,1
251697,1,1,2,57,11,3,5,1
